Gene_Symbol,log2FoldChange
ASTE1,-5.63139780605304
MAGI2,1.3270623766375
KDM2A,-5.96214351012772
MSH2,-1.15082574421745
NUP188,-0.772040579614187
SNX30,0.800667190523659
SELENBP1,-5.37784489289892
MAP9,1.10423359912877
AKAP13,0.627201856109801
SLC27A1,0.990848372286443
ZC3H6,1.51069419733265
RUNX2,1.22957968493341
PGGHG,0.932166688055365
C19orf57,-5.6574722675684
SPA17,-0.652208872855659
ABHD12,-0.449238245117582
HAUS8,-1.48768001283152
ENSA,-0.714969388901085
WASHC2A,1.29058917553049
PXDC1,1.00182406587097
GSN,1.32422174405942
IGFBPL1,-1.18919892735427
AHCTF1,-0.649937322042402
HNRNPH3,-0.484658029044671
AMIGO2,1.23497376372722
DAB2,1.2801830217704
GPATCH3,-5.39488043400798
SENP1,-1.17726538742254
TNRC6B,0.793688876176397
DCP1A,0.671511488222256
ATP6V0A2,-0.587781034771728
PPP1CC,-0.590083155191532
C2orf88,-2.31933883558966
CKAP4,-0.487640438462546
ABL2,0.663357093854033
SRM,-1.35807257918246
USP30,1.1449581599953
SRPK1,-0.592972736518227
OIP5,-1.25245731097626
PDCD1LG2,-1.43847802464997
CD22,1.4491857997411
PBK,-0.929710003642132
CHURC1,0.706865359724789
BRI3BP,-1.0883798591883
RCC1,-1.06264074502756
CEP131,-2.08280494489955
PATJ,1.24052801459894
PSD3,1.273222751801
MPP2,-1.80514046262946
CBFB,-1.06875333762445
CPA4,0.948706911484415
TXNDC11,0.777515569812147
ZNF227,0.674436431744279
CAPG,0.791875207337199
SLC3A2,-0.799604575432963
H2AC4,-1.56101100846205
ANO6,1.29456783344304
SEMA6B,-0.981147837749012
ZNF532,0.461341091474726
PTPN23,0.610263884152972
KNL1,-1.09308476714257
ADAM19,-0.885665928907989
ABCB8,-5.67909844205834
ACER3,-1.0977106184133
ZNF622,0.962674847031168
BCL9L,0.982928496664304
MCCC1,0.776781117090352
RICTOR,0.663314770965487
GK,-1.51309666235833
PSPH,-1.05816601829658
EIF2B3,-0.451774255147204
L3HYPDH,0.857746287811474
RGS4,-0.932469743109487
C6orf163,1.36276024352579
