,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
951,HMGB1_3023,10.8540671979027,-5.87594891956201,1.6572998210356102,-3.5454954166894703,0.000391875802557796,0.00584570593746561
952,HMGCR_3029,416.78544261740603,0.6526047710603979,0.205015962256452,3.18319004958288,0.00145661971801814,0.015597368564719
954,HMOX1_3041,60.7128619004779,0.950739588913397,0.22605338097870498,4.20581893001176,2.60138451870495e-05,0.000688995271096998
959,HNRNPF_3064,104.873825968789,0.678931552714898,0.222312260608758,3.05395460806246,0.00225846250042365,0.0217758739453923
967,HRAS_3100,7.93041416255518,-5.422594049711031,1.8441043866591,-2.94050276597138,0.00327680075966461,0.0286758734045363
979,HSP90AA1_3127,3252.5184285681203,-0.7342146336367491,0.243524702243818,-3.0149493126231097,0.00257022204950615,0.0238429891054258
984,HSPA4_3139,3279.1859551477696,-0.5446201535407921,0.13804725050932098,-3.94517204458208,7.97427035238366e-05,0.0016349143859910801
997,HYOU1_3177,86.2296300473065,-1.6857599011545301,0.340325846707898,-4.953370181728871,7.29390257572994e-07,3.44874590732982e-05
1001,ICMT_3191,16.1372459410574,-6.4560495104807405,1.32521384798884,-4.871703929353361,1.10639882712032e-06,4.9037303374340296e-05
1007,IER3_3214,260.16413114806704,0.536287784314903,0.171896257797308,3.1198339695519706,0.00180953002866428,0.0184929950547821
1015,IFRD2_3246,60.7912323679477,-1.37216545507063,0.44062497341748497,-3.1141345539907097,0.00184485336794916,0.0186759025033106
1016,IGF1R_3254,65.005867479068,0.653123734759432,0.173668710395378,3.76074500278442,0.00016940805740065502,0.00298314486966853
1045,ILKAP_3358,52.273675127005504,-0.949215839555593,0.33202588130830896,-2.85886098943648,0.00425165052804492,0.0345159378287708
1047,IMPDH2_3367,797.538218615686,0.671926469619089,0.228110726813296,2.9456153991787004,0.00322312891987632,0.0283591641506135
1058,INSIG1_3385,356.50105863850405,0.5104579636479121,0.18202419664108202,2.8043412527975,0.00504195093422326,0.0388930907320689
1081,ITM2B_3452,56.2221905077003,1.35776393179142,0.46291779237957204,2.93305626645284,0.0033564305790247397,0.0292376522070867
1089,KAT6B_3489,384.86819045680494,0.918350274503933,0.263566790807938,3.4843170935489303,0.000493394564811964,0.006952524063115821
1091,KATNA1_3491,169.032114533157,-0.9113880800442751,0.28830485980248804,-3.1611956894124105,0.0015712290064502801,0.0165783821509852
1111,KHSRP_3551,1165.1966356743499,-0.429740376823965,0.121935608886767,-3.52432222832492,0.000424567597642971,0.0061980183151973895
1112,KIAA0100_3554,408.196695007899,-0.6325671309631059,0.1982146762057,-3.19132338266744,0.00141622668598142,0.0152257713836321
1118,TMEM131L_3571,48.4168539166895,0.859400556865395,0.271166176267016,3.16927637766721,0.00152819003841984,0.0162275316096889
1120,KIAA1109_3577,61.8586813217762,0.847731300030473,0.294342415190701,2.88008542527327,0.0039756743346741705,0.0328307089451628
1125,KIF15_3595,845.1706315209931,-1.4334368223195402,0.24250004563147198,-5.91107856737455,3.3987486194820395e-09,3.5860942750925203e-07
1126,KIF18B_3598,80.9438110643808,-1.9244924485302202,0.514907855871049,-3.73754726517938,0.000185824165247181,0.00321640193124733
1127,KIF20A_3601,359.946904585786,-1.31305002481602,0.249202604544633,-5.2690060250989506,1.37164462955711e-07,8.43658957459345e-06
1132,KLF6_3626,349.49038960174795,0.5762592835510251,0.179823757048513,3.2045781547960903,0.00135260562533891,0.0147513578198726
1141,KNSTRN_3668,483.670312698192,-1.06694887055007,0.17457358699008402,-6.11174284120471,9.85488969224514e-10,1.24171610122289e-07
